Common_Nm,Species,Class,Top 30 worst,Doublechecker,Notes (include refs where applicable),Reference in Appendix,Double check completed? ,Disease Agent (to remove),Domesticated (to set as diverse),Continents,Countries
yellow floating heart,Nymphoides peltata,Tracheophyta,,Alok,Correct,NA,1,,,EUR;AS,Armenia;Azerbaijan;China;Georgia;India;Iran;Japan;Mongolia;North Korea;South Korea;Taiwan;Turkey;Albania;Austria;Belarus;Belgium;Bosnia & Herzegovina;Bulgaria;Croatia;Czechia;Estonia;France;Germany;Greece;Hungary;Italy;Latvia;Liechtenstein;Lithuania;Luxembourg;Moldova;Montenegro;Netherlands;North Macedonia;Poland;Portugal;Romania;Russia;Slovakia;Slovenia;Spain;Ukraine;Serbia;United Kingdom
Muskrat,Ondatra zibethicus,Chordata,,Alok,Correct,NA,1,,,NAm,Canada;United States;Mexico
,Opuntia humifusa,Tracheophyta,,Alok,Added Canada to the country list (CABI).,Other Generic Databases,1,,,NAm,United States;Canada
Sour prickly pear,Opuntia stricta,Tracheophyta,,Alok,Removed Europe from the list of continents and Netherlands from the list of countries. Added Netherlands Antilles. (CABI),Other Generic Databases,1,,,SA;NAm,United States;Mexico;Puerto Rico;Colombia;Ecuador;Grenada;Montserrat;Barbados;British Virgin Islands;Cuba;Dominican Republic;Jamaica;U.S. Virgin Islands;Bahamas;Cayman Islands;Bermuda;Netherlands Antilles
Sheep,Ovis aries,Chordata,,Alok,"Removed NAm from the list of continents and US from the list of countries (CABI). Wiki page says that the sheep was domesticated in the Indus Valley civilization, but since this is going to be set as 'diverse', I have let it be.",Other Generic Databases,1,,1,EUR,
Agrio,Oxalis pes-caprae,Tracheophyta,,Alok,Correct,NA,1,,,AF,Namibia;South Africa
red king crab,Paralithodes camtschaticus,Arthropoda,,Alok,"Native to Okhotsk and Japan seas, the Bering Sea and the northern Pacific Ocean (CABI). Hence, adding NAm to the continent list. Country list was empty. Adding Russia, Japan and US to the country list.",Other Generic Databases,1,,,AS;NAm,Russia;Japan;United States
Philornis avian fly,Philornis downsi,Arthropoda,,Alok,Added three countries based on Bulgarella et al (2015),YES,1,,,SA,Argentina;Brazil;Trinidad and Tobago
Diamondback moth,Plutella xylostella,Arthropoda,,Alok,"Origin cryptogenic. Proposed countries/continents of origin are Mediterranean Europe (Vaughn 1977), South Africa (Kfir 1997) or China (Liu et al. 2000). Because brassicaceous pest, multiple reintroductions. Problematic to pin down the origin. Needs finalising.",YES-But problem finding Liu et al 2000 study,1,,,UNK,
Roble americano,Quercus rubra,Tracheophyta,,Alok,Added Canada to the country list (CABI).,Other Generic Databases,1,,,NAm,United States;Canada
Acaro rojo de las palmas,Raoiella indica,Arthropoda,,Alok,Country list a whole range of Asian countries. Difficult to ascertain the exact region of origin (CABI).,Other Generic Databases,1,,,AS,
Brown rat,Rattus norvegicus,Chordata,,Alok,Removing Europe from the list of continents. Origin in China (CABI).,Other Generic Databases,1,,,AS,China
nomad jellyfish,Rhopilema nomadica,Cnidaria,,Alok,Considered native of East Africa and Red Sea (CABI). Adding Asia to the list of continents.,Other Generic Databases,1,,,AF;AS,
Andean raspberry,Rubus glaucus,Tracheophyta,,Alok,"The country list has contries from SAm. Hence, added SAm to the continent list.",NA,1,,,NAm;SA,Bolivia;Mexico;Costa Rica;El Salvador;Guatemala;Colombia;Ecuador;Peru
elmleaf blackberry,Rubus ulmifolius,Tracheophyta,,Alok,"Couldn't find references for its presence in Armenia, and thus, in Asia. But, may have slipped past me, so letting it pass.",NA,1,,,EUR;AS;AF,Morocco;Armenia;Austria;Bulgaria;France;Hungary;Portugal;Spain
,Salvinia molesta,Tracheophyta,,Alok,Correct,NA,1,,,SA,Argentina;Brazil;Colombia;Guyana
,Salvinia natans,Tracheophyta,,Alok,"Not native to SA or NAm. Deleted the country list, and replaced the continent list with EUR, AS and AF (Kew Botanical Gardens)",Other Generic Databases,1,,,AF;AS;EUR,Afghanistan;Algeria;India;Russia;China;Estonia;Latvia;Lithuania;Bangladesh;Belarus;Bulgaria;Czechia;Slovakia;Germany;Greece;Hungary;Mongolia;Iran;Iraq;Italy;Japan;Indonesia;Kazakhstan;South Korea;North Korea;Ukraine;Lebanon;Syria;Nepal;Netherlands;United Kingdom;Ireland;Belgium;Luxembourg;France;Germany;Denmark;Norway;Sweden;Iceland;Finland;Switzerland;Austria;Pakistan;Palestine;Poland;Romania;Spain;Taiwan;Thailand;Tibet;Georgia;Armenia;Azerbaijan;Tunisia;Turkey;Vietnam;Tajikistan;Bosnia and Herzegovina;Slovenia;Serbia;Montenegro;North Macedonia;Kosovo;Croatia
woodwasp,Sirex noctilio,Arthropoda,,Alok,Added some countries (CABI) marked in red.,Other Generic Databases,1,,,EUR;AS,Mongolia;Austria;Belgium;Czechia;Estonia;Finland;France;Germany;Greece;Hungary;Italy;Montenegro;Poland;Portugal;Romania;Russia;Spain;Serbia;Denmark;Norway;United Kingdom;Cyprus;Slovakia;Bosnia and Herzegovina;Slovenia;North Macedonia;Kosovo;Croatia
Aquatic nightshade,Solanum tampicense,Tracheophyta,,Alok,Removed Asia from the continent list since none of the countries in the list lie in Asia.,NA,1,,,NAm,Mexico;Belize;Costa Rica;El Salvador;Guatemala;Cuba
,Stenotaphrum secundatum,Tracheophyta,,Alok,Correct,NA,1,,,EUR;AS;OC;AF;SA;NAm,India;Japan;Sri Lanka;Portugal;Argentina;Bolivia;Brazil;Chile;Paraguay;Uruguay;United States;Mexico;Puerto Rico;Belize;Costa Rica;Guatemala;Honduras;Nicaragua;Panama;Colombia;Ecuador;French Guiana;Guyana;Peru;Suriname;Venezuela;Cameroon;C√¥te d‚ÄôIvoire;Ghana;Nigeria;Senegal;Antigua & Barbuda;Cuba;Dominica;Dominican Republic;Guadeloupe;Haiti;Martinique;St. Kitts & Nevis;St. Lucia;U.S. Virgin Islands;Bahamas;Cayman Islands;Liberia;Sierra Leone;Bermuda;Samoa
rose apple,Syzygium jambos,Tracheophyta,,Alok,Correct,NA,1,,,AS,Thailand;Malaysia
melon thrips,Thrips palmi,Arthropoda,,Alok,All the fields were empty. Somehwhat reliable information from Kajita et al. (1993) is used to fill these fields.,YES,1,,,AS,Thailand;Malaysia;Indonesia;India
,Ulex parviflorus,Tracheophyta,,Alok,Country list given on the species profile on Kew's website.,Other Generic Databases,1,,,EUR;AF,"Algeria, Baleares, France, Morocco, Portugal, Spain "
Red fox,Vulpes vulpes,Chordata,,Alok,"CABI says, ""Native range: V. vulpes occurs in Europe, North Africa, most of Asia (excluding extreme Southeast Asia and southern India) and boreal regions of North America."" Hence, adding AF and AS to the continent list. Native country list not given on the CABI page.",Other Generic Databases,1,,,EUR;NAm;AF;AS,
Golden Wattle,Acacia longifolia,Tracheophyta,,Dat,,NA,1,,,OC,Australia
Blackwood,Acacia melanoxylon,Tracheophyta,,Dat,,NA,1,,,OC,Australia
Asian tiger mosquito,Aedes albopictus,Arthropoda,,Dat,(Bonizzoni et al. 2013;https://dx.doi.org/10.1016%2Fj.pt.2013.07.003),YES,1,,,AS,Mongolia;China;Nepal;Bhutan;India;Bangladesh;Myanmar;Laos;Thailand;Cambodia;Vietnam;Malaysia;Singapore;Brunei Darussalam;Indonesia;Philippines;East Timor;North Korea;South Korea;Japan;Sri Lanka
,Agave sisalana,Tracheophyta,,Dat,,NA,1,,,NAm,Mexico
,Aloe vera,Tracheophyta,,Dat,Arabian peninsula (CABI),Other Generic Databases,1,,,AS,Saudi Arabia;Yemen;Oman
,Ameiurus nebulosus,Chordata,,Dat,,NA,1,,,NAm,Canada;United States
legant dutchman's pipe,Aristolochia elegans,Tracheophyta,,Dat,,NA,1,,,SA,Argentina;Bolivia;Brazil;Colombia;Ecuador;Peru;Paraguay
fragrant dutchman's pipe,Aristolochia odoratissima,Tracheophyta,,Dat,Central and South America (Plants of the World Online;http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:316342-2),Other Generic Databases,1,,,NAm;SA,Argentina;Bolivia;Brazil;Paraguay;Mexico;Belize;Costa Rica;Guatemala;Honduras;Nicaragua;Panama;Colombia;Ecuador;Peru;Venezuela
Buff-tailed bumblebee,Bombus terrestris,Arthropoda,,Dat,,NA,1,,,EUR;AS;AF,Algeria;Morocco;Armenia;Azerbaijan;Georgia;Iran;Israel;Kazakhstan;Lebanon;Pakistan;Syria;Turkey;Uzbekistan;Albania;Andorra;Austria;Belgium;Bulgaria;Croatia;Czechia;Estonia;France;Germany;Greece;Hungary;Italy;Latvia;Liechtenstein;Lithuania;Luxembourg;Moldova;Monaco;Montenegro;Netherlands;North Macedonia;Poland;Portugal;Romania;Russia;San Marino;Slovakia;Slovenia;Spain;Switzerland;Ukraine;Serbia;Libya;Denmark;Norway;Sweden;United Kingdom;Ireland;Cyprus;Iceland;Malta
Chestnut leaf-miner moth,Cameraria ohridella,Arthropoda,,Dat,(CABI),Other Generic Databases,1,,,EUR,Albania;North Macedonia;Greece
Killer algae,Caulerpa taxifolia,Chlorophyta,,Dat,,NA,1,,,AS;OC;AF;NAm,Bangladesh;China;India;Japan;Pakistan;Sri Lanka;Thailand;Vietnam;Indonesia;Malaysia;Australia;Kenya;Mauritania;Saudi Arabia;Yemen;United States;Puerto Rico;Trinidad & Tobago;Cote d'Ivoire;Gambia;Ghana;Senegal;Barbados;Cuba;U.S. Virgin Islands;Maldives;Cape Verde;Gabon;São Tomé and Príncipe;Seychelles;New Caledonia;Mauritius;French Polynesia;Equatorial Guinea;Philippines;Papua New Guinea;Singapore;Madagascar;Micronesia (Federated States of);Fiji;Bermuda
Fountaingrass,Cenchrus setaceus,Tracheophyta,,Dat,North Africa;Middle East (CABI),Other Generic Databases,1,,,AS;AF,Algeria;Morocco;Tunisia;Israel;Jordan;Lebanon;Syria;Egypt;Eritrea;Ethiopia;Kenya;Libya;Somalia;Sudan;Oman;Qatar;Saudi Arabia;Yemen;Tanzania;Zambia;Zimbabwe
Spotted stemborer,Chilo partellus,Arthropoda,1,Dat,(CABI;Yonow et al. 2017;https://dx.doi.org/10.1007%2Fs10340-016-0801-4),YES,1,,,AS,Afghanistan;Bangladesh;Cambodia;India;Indonesia;Iran;Laos;Nepal;Pakistan;Sri Lanka;Thailand;Vietnam;Yemen
"Claria, Pez gato",Clarias gariepinus,Chordata,,Dat,(FishBase),Other Generic Databases,1,,,AS;AF,Algeria;Angola;Benin;Botswana;Burkina Faso;Burundi;Cameroon;Central African Republic;Chad;Democratic Republic of the Congo;Cote d'Ivoire;Egypt;Eritrea;Ethiopia;Ghana;Guinea;Israel;Jordan;Kenya;Libya;Malawi;Mali;Mozambique;Namibia;Niger;Nigeria;Rwanda;Senegal;Somalia;South Africa;Sudan;Swaziland;Syria;Tanzania;Togo;Turkey;Uganda;Zambia;Zimbabwe
White pine blister rust,Cronartium ribicola,Basidiomycota,,Dat,Plant fungal pathogen,NA,1,,,AS,China
,Cupressus sempervirens,Tracheophyta,,Dat,(CABI),Other Generic Databases,1,,,AF;AS;EU,Libya;Greece;Turkey;Cyprus;Syria;Lebanon;Iran
Didymo,Didymosphenia geminata,Ochrophyta,,Dat,Northern latitudes above 30N (Blanco & Ector 2009;https://doi.org/10.1127/0029-5035/2009/0088-0347),YES,1,,,EUR;AS;NAm,Afghanistan;China;India;Kazakhstan;Kyrgyzstan;Mongolia;Pakistan;Turkey;Uzbekistan;Finland;France;Poland;Russia;Spain;Switzerland;Ukraine;Norway;Sweden;United Kingdom;Ireland;Canada;United States;Greenland;Faroe Islands
Water hyacinth,Eichhornia crassipes,Tracheophyta,1,Dat,,NA,1,,,SA,Brazil;Colombia
Mexican rice borer,Eoreuma loftini,Arthropoda,,Dat,,NA,1,,,NAm,Mexico
松栉圆盾介壳虫,Hemiberlesia pitysophila,Arthropoda,,Dat,(CABI),Other Generic Databases,1,,,AS,Japan
West Indian marsh grass,Hymenachne amplexicaulis,Tracheophyta,,Dat,(CABI),Other Generic Databases,1,,,NAm;SA,Barbados;Belize;Costa Rica;Cuba;Dominica;Dominican Republic;El Salvador;Guadeloupe;Haiti;Jamaica;Martinique;Mexico;Netherlands Antilles; Nicaragua;Panama;Puerto Rico; Argentina;Bolivia;Brazil;Colombia;Ecuador;French Guiana;Guyama;Paraguay;Peru;Suriname;Uruguay;Venezuela
Silver Ragwort,Jacobaea maritima,Tracheophyta,,Dat,,NA,1,,,EUR;AS;AF,Algeria;Morocco;Tunisia;Andorra;Bosnia & Herzegovina;France;Italy;Portugal;Spain;Malta
Ants,Lasius neglectus,Arthropoda,,Dat,,NA,1,,,EUR;AS,Turkey;Uzbekistan
Bluegill,Lepomis macrochirus,Chordata,,Dat,(FishBase),Other Generic Databases,1,,,NAm,Canada;United States;Mexico
Mytilopsis trautwineana,Mytilopsis trautwineana,Mollusca,,Dat,Eastern Pacfic coast of Colombia and Ecuador (Aldridge et al. 2008;https://doi.org/10.1016/j.aquaculture.2008.05.022),YES,1,,,SA,Colombia;Ecuador
Scotch thistle,Onopordum acanthium,Tracheophyta,,Dat,,NA,1,,,EUR;AS,Afghanistan;Armenia;Azerbaijan;Georgia;Iran;Iraq;Jordan;Kazakhstan;Kyrgyzstan;Pakistan;Tajikistan;Turkey;Turkmenistan;Uzbekistan;Albania;Austria;Belgium;Bulgaria;Croatia;Czechia;Federal Republic of Yugoslavia;Finland;France;Germany;Greece;Hungary;Italy;Moldova;Netherlands;Norway;Poland;Portugal;Romania;Russia;Serbia;Slovakia;Spain;Sweden;Switzerland;Ukraine;United Kingdom;China;India
Guinea grass or green panic grass,Panicum maximum,Tracheophyta,,Dat,(CABI),Other Generic Databases,1,,,AF,"Angola;Benin;Botswana;Burkina Faso;Cameroon;Central African Republic;Chad;Congo, Democratic Republic of the;Congo, Republic of the;Côte d'Ivoire;Eritrea;Eswatini;Ethiopia;Gambia;Ghana;Guinea;Kenya;Lesotho;Liberia;Madagascar;Malawi;Mauritius;Mozambique;Namibia;Nigeria;Rwanda;Senegal;Seychelles;Sierra Leone;Somalia;South Africa;Tanzania;Uganda;Zambia;Zimbabwe"
potato blight,Phytophthora infestans,Oomycota,,Dat,"Plant fungal pathogen, (Goss et al. 2014;https://doi.org/10.1073/pnas.1401884111)",YES,1,,,NAm,Mexico
,Pinus caribaea,Tracheophyta,,Dat,(CABI),Other Generic Databases,1,,,NAm,Bahamas;Belize;Cuba;Honduras;Mexico;Nicaragua;Turks and Caicos Islands
,Pinus taeda,Tracheophyta,,Dat,,NA,1,,,NAm,United States
Japanese knotweed,Reynoutria japonica,Tracheophyta,,Dat,,NA,1,,,AS,China;Japan;North Korea;South Korea;Taiwan
Yellow locust,Robinia pseudoacacia,Tracheophyta,,Dat,,NA,1,,,NAm,United States
,Rusa timorensis,Chordata,,Dat,(IUCN Red List),Other Generic Databases,1,,,AS,Indonesia
Seneci del Cap,Senecio inaequidens,Tracheophyta,,Dat,,NA,1,,,AF,Mozambique;Namibia;South Africa;Botswana;Eswatini;Lesotho
Sodom-apple,Solanum linnaeanum,Tracheophyta,,Dat,,NA,1,,,AF,South Africa;Zimbabwe;Mozambique
tropical soda apple,Solanum viarum,Tracheophyta,,Dat,(CABI),Other Generic Databases,1,,,SA;NAm,Argentina;Brazil;Paraguay;Uruguay
Spartina,Spartina sp.,Tracheophyta,,Dat,"Genus, Atlantic coasts of North America, South America, Europe and Africa (Saarela 2012;https://doi.org/10.3897/phytokeys.10.2734)",YES,1,,,SA;NAm;AF;EUR,
Common starling,Sturnus vulgaris,Chordata,1,Dat,"Asia;Europe;Ghana;Northern Africa (GISD), Europe;Southwest Asia; Northern Africa (CABI)",Other Generic Databases,1,,,AS;EUR;AF,Ghana
Clubbed tunicate,Styela clava,Chordata,,Dat,"Pacific shores of Asia and Russia (CABI), therefore only considered Asia as native range",Other Generic Databases,1,,,AS,China;Japan;North Korea;South Korea;Taiwan;Russia
马铃薯癌肿病,Synchytrium endobioticum,Chytridiomycota,,Dat,"Plant fungal pathogen, countries based on ""Andean zone of South America"" (CABI)",Other Generic Databases,1,,,SA,Argentina;Bolivia;Chile;Colombia;Ecuador;Peru;Venezuela
Red-eared sliders,Trachemys scripta,Chordata,,Dat,Eastern USA and adjacent areas of Mexico (CABI),Other Generic Databases,1,,,NAm,United States; Mexico
Varroa mite,Varroa jacobsoni,Arthropoda,,Dat,"Originally an ectoparasite of the Asian honey bee, Apis cerana",NA,1,,,AS,
Screw-pod wattle,Acacia implexa,Tracheophyta,,Desika,"Deleted NAm [Kaplan, H., Van Zyl, H.W.F., Le Roux, J.J., Richardson, D.M. & Wilson, J.R.U., 2012, 'Distribution and management of Acacia implexa (Benth.) in South Africa: A suitable target for eradication?', South African Journal of Botany 83, 23-35. https://doi.org/10.1016/j.sajb.2012.07.016]",YES,1,,,OC,Australia
Emerald ash borer,Agrilus planipennis,Arthropoda,1,Desika,,NA,1,,,EUR;AS,China;Japan;Mongolia;North Korea;South Korea;Taiwan;Russia
Asian citrus blackfly,Aleurocanthus woglumi,Arthropoda,,Desika,Changed from EUR to AS [CABI],Other Generic Databases,1,,,AS,southern Asia
,Aloe maculata,Tracheophyta,,Desika,,NA,1,,,AF,South Africa;Lesotho
Ambroisie annuelle,Ambrosia polystachya,Tracheophyta,,Desika,,NA,1,,,SA,Brazil
Iberian Slug,Arion lusitanicus,Mollusca,,Desika,Deleted AS;NAm [https://animaldiversity.org/],Other Generic Databases,1,,,EUR,Iberian Peninsula and southern France
Ajenjo de china,Aster squamatus,Tracheophyta,,Desika,,NA,1,,,SA,"Argentina Northeast, Argentina Northwest, Argentina South, Bolivia, Brazil Northeast, Brazil South, Brazil Southeast, Brazil West-Central, Chile Central, Chile North, Colombia, Paraguay, Peru, Uruguay, Venezuela"
Kochia,Bassia scoparia,Tracheophyta,,Desika,"Deleted NAm, Added EUR [www.plantsoftheworldonline.org]",Other Generic Databases,1,,,AS;EUR,"Altay, Amur, Buryatiya, China North-Central, China South-Central, China Southeast, Cyprus, Hainan, Inner Mongolia, Iran, Iraq, Japan, Kazakhstan, Khabarovsk, Kirgizstan, Korea, Krasnoyarsk, Lebanon-Syria, Manchuria, Mongolia, North Caucasus, North European Russi, Northwest European R, Primorye, Qinghai, Sakhalin, South European Russi, Tadzhikistan, Tibet, Transcaucasus, Turkey, Turkmenistan, Tuva, Uzbekistan, West Siberia, Xinjiang"
Pine wood nematode,Bursaphelenchus mucronatus,Nematoda,,Desika,Added EUR [https://nematode.unl.edu/projectpest.htm],YES,1,,,AS;EUR,"China, Finland, France, Germany, Japan, Korea, Russia and Sweden"
Pallas'e Squirrel,Callosciurus erythraeus,Chordata,,Desika,,NA,1,,,AS,Bangladesh;Bhutan;Cambodia;China;India;Laos;Myanmar (Burma);Taiwan;Thailand;Vietnam;Malaysia
edible goldfish,Carassius auratus,Chordata,,Desika,Added AF [FishBase],Other Generic Databases,1,,,AS,"Central Asia, China, Japan"
North American beaver,Castor canadensis,Chordata,,Desika,,NA,1,,,NAm,Canada;United States;Mexico
Diffuse and spotted knapweed,Centaurea diffusa,Tracheophyta,,Desika,,NA,1,,,EUR;AS,Armenia;Azerbaijan;Georgia;Syria;Turkey;Bosnia & Herzegovina;Bulgaria;Croatia;Greece;Italy;Moldova;Montenegro;North Macedonia;Romania;Russia;Slovenia;Ukraine;Serbia
Rice striped stem borer,Chilo suppressalis,Arthropoda,,Desika,Added EUR [CABI],Other Generic Databases,1,,,AS;EUR,Bangladesh;Cambodia;China;India;Japan;Laos;Myanmar (Burma);Nepal;North Korea;Pakistan;South Korea;Sri Lanka;Taiwan;Thailand;Vietnam;Russia;Indonesia;Malaysia;Philippines;Brunei;Hong Kong SAR China
spruce budworm,Choristoneura fumiferana,Arthropoda,,Desika,,NA,1,,,NAm,United States;Canada
osyter thief,Codium fragile,Chlorophyta,,Desika,,NA,1,,,AS,Japan;South Korea
Cocoyam,Colocasia esculenta,Tracheophyta,,Desika,,NA,1,,,AS;OC,Bangladesh;Bhutan;China;India;Laos;Nepal;Thailand;Indonesia;Malaysia;Papua New Guinea;Hong Kong SAR China
slipper limpet,Crepidula porcellana,Mollusca,,Desika,[GISD],Other Generic Databases,1,,,SA;NAm,"Atlantic Coast (North America);Atlantic - Western Central;Canada
Mexico;United States"
Rubber vine,Cryptostegia grandiflora,Tracheophyta,,Desika,,NA,1,,,AF,Madagascar
,Cylindropuntia imbricata,Tracheophyta,,Desika,,NA,1,,,NAm,"Arizona, Colorado, Kansas, Mexico Central, Mexico Gulf, Mexico Northeast, Mexico Northwest, Mexico Southwest, New Mexico, Oklahoma, Texas"
,Cyperus alterniflorus,Tracheophyta,,Desika,,NA,1,,,OC,"Queensland, South Australia, Western Australia"
Fallow deer,Dama dama,Chordata,,Desika,[https://animaldiversity.org/],Other Generic Databases,1,,,EUR;AS,southern European regions;Asia Minor; along the Mediterranean Sea
紫茎泽兰,Eupatorium adenophorum,Tracheophyta,,Desika,,NA,1,,,NAm,"Mexico Central, Mexico Gulf, Mexico Northeast, Mexico Northwest, Mexico Southwest"
Mercierella,Ficopomatus enigmaticus,Annelida,,Desika,[GISD],Other Generic Databases,1,,,OC,Australia
defoliador del Eucalipto,Gonipterus scutellatus,Arthropoda,,Desika,[CABI],Other Generic Databases,1,,,OC,Australia
Cotton bollworm,Helicoverpa armigera,Arthropoda,,Desika,Deleted NAm [https://idtools.org/id/leps/lepintercept/armigera.html] Europe;Asia; Africa; Oceania; Australasia,YES,1,,,EUR;AS;AF;OC,
Giant hogweed,Heracleum mantegazzianum,Tracheophyta,,Desika,[www.plantsoftheworldonline.org],Other Generic Databases,1,,,EUR;AS,Azerbaijan;Georgia;Russia
Mangosta,Herpestes javanicus,Chordata,,Desika,[GISD],Other Generic Databases,1,,,AS,Afghanistan;Bangladesh;Bhutan;Cambodia;China;India;Iran;Iraq;Jordan;Laos;Myanmar (Burma);Nepal;Pakistan;Thailand;Vietnam;Malaysia;Oman;Saudi Arabia;Singapore
Japanese hop,Humulopsis scandens,Tracheophyta,,Desika,"Removed NAm, Changed to Asia [www.plantsoftheworldonline.org]",Other Generic Databases,1,,,AS,"China North-Central, China South-Central, China Southeast, Hainan, Japan, Khabarovsk, Korea, Manchuria, Primorye, Taiwan, Tibet, Vietnam"
Balfour's touch-me-not,Impatiens balfourii,Tracheophyta,,Desika,[www.plantsoftheworldonline.org],Other Generic Databases,1,,,AS,India;Pakistan
Black wattle,Acacia mearnsii,Tracheophyta,1,Desika,[GISD],Other Generic Databases,1,,,OC,Australia
Prickly acacia,Acacia nilotica,Tracheophyta,,Desika,[CABI],Other Generic Databases,1,,,AS;AF,Algeria;Bangladesh;India;Iran;Pakistan;Syria;Burkina Faso;Chad;Djibouti;Egypt;Eritrea;Ethiopia;Kenya;Libya;Mali;Mauritania;Niger;Somalia;Sudan;Oman;Saudi Arabia;United Arab Emirates;Yemen;Tanzania;Cameroon;C√¥te d‚ÄôIvoire;Gambia;Ghana;Guinea;Guinea-Bissau;Nigeria;Senegal;Togo;Uganda;Cape Verde;Mozambique;Namibia;South Africa;Zambia;Angola;Botswana;Malawi;Zimbabwe;Eswatini;Lesotho
Port Jackson Willow,Acacia saligna,Tracheophyta,,Desika,[GISD],Other Generic Databases,1,,,OC,Australia
bear's breech,Acanthus mollis,Tracheophyta,,Desika,Removed SA [GISD] ,Other Generic Databases,1,,,AF;EUR;AS,Algeria;Ex-Yugoslavia;France;Italy;Malta;Morocco;Spain;Syrian Arab Republic;Tunisia;Turkey
Boxelder maple,Acer negundo,Tracheophyta,,Desika,Removed EUR [www.plantsoftheworldonline.org],Other Generic Databases,1,,,NAm,"Alabama, Arizona, Illinois, Kentucky, Missouri, New York, Tennessee, Vermont"
,Aloe microstigma,Tracheophyta,,Desika,[www.plantsoftheworldonline.org],Other Generic Databases,1,,,AF,Namibia;South Africa
Yellow crazy ant,Anoplolepis gracilipes,Arthropoda,,Desika,[CABI],Other Generic Databases,1,,,AS,Cambodia;China;India;Myanmar (Burma);Sri Lanka;Thailand;Vietnam;Indonesia;Malaysia;Philippines;Brunei;Singapore
Madeira-vine,Anredera cordifolia,Tracheophyta,,Desika,Removed NAm [www.plantsoftheworldonline.org],Other Generic Databases,1,,,SA,"Argentina, Bolivia, Brazil, Colombia, Ecuador, Paraguay, Peru, Uruguay, Venezuela"
,Austrocylindropuntia subulata,Tracheophyta,,Desika,[www.plantsoftheworldonline.org],Other Generic Databases,1,,,SA,"Bolivia, Colombia, Peru"
,Austropuccinia psidii,Basidiomycota,,Desika,Plant Fungal Pathogen [CABI],Other Generic Databases,1,,,SA,Brazil;Uruguay
禽流感,Avian influenza,Orthornavirae,,Desika,Virus - to remove,NA,1,1,,AS,Malaysia
Paragrass,Brachiaria mutica,Tracheophyta,,Desika,[www.plantsoftheworldonline.org],Other Generic Databases,1,,,AS;AF,"Algeria, Angola, Benin, Burkina, Cameroon, Chad, Congo, Egypt, Gabon, Gambia, Ghana, Gulf of Guinea Is., Ivory Coast, Lebanon-Syria, Liberia, Mali, Mauritania, Morocco, Niger, Nigeria, Palestine, Senegal, Sierra Leone, Sinai, Sudan, Togo, Tunisia, Yemen, Zaïre"
kikuyu grass,Cenchrus clandestinus,Tracheophyta,,Desika,[www.plantsoftheworldonline.org],Other Generic Databases,1,,,AF,"Burundi, Eritrea, Ethiopia, Kenya, Malawi, Rwanda, Tanzania, Uganda, Zaïre, Zimbabwe"
,Cenchrus longisetus,Tracheophyta,,Desika,Removed EUR [www.plantsoftheworldonline.org],Other Generic Databases,1,,,AS;AF,"Eritrea, Ethiopia, Saudi Arabia, Somalia, Yemen"
californian thistle,Cirsium arvense,Tracheophyta,,Desika,[www.plantsoftheworldonline.org],Other Generic Databases,1,,,EUR;AS;AF,"Afghanistan, Albania, Algeria, Altay, Amur, Assam, Austria, Azores, Baleares, Baltic States, Bangladesh, Belarus, Belgium, Bulgaria, Buryatiya, Central European Rus, China North-Central, China South-Central, China Southeast, Corse, Cyprus, Czechoslovakia, Denmark, East European Russia, Finland, France, Føroyar, Germany, Great Britain, Greece, Hungary, India, Inner Mongolia, Iran, Ireland, Italy, Kamchatka, Kazakhstan, Khabarovsk, Kirgizstan, Korea, Krasnoyarsk, Krym, Kuril Is., Lebanon-Syria, Magadan, Manchuria, Mongolia, Nepal, Netherlands, North Caucasus, North European Russi, Northwest European R, Norway, Pakistan, Palestine, Poland, Portugal, Primorye, Qinghai, Romania, Sakhalin, Sardegna, Sicilia, Sinai, South European Russi, Spain, Sweden, Switzerland, Tadzhikistan, Tibet, Transcaucasus, Turkey, Turkey-in-Europe, Turkmenistan, Tuva, Ukraine, Uzbekistan, West Himalaya, West Siberia, Xinjiang, Yugoslavia"
Box tree moth,Cydalima perspectalis,Arthropoda,,Desika,[CABI],Other Generic Databases,1,,,AS,China;South Korea
Cylindropuntia rosea,Cylindropuntia rosea,Tracheophyta,,Desika,[CABI],Other Generic Databases,1,,,NAm,Mexico
Root maggots,Delia spp.,Arthropoda,,Desika,"Originally recorded as native to EUR, but this range was only found for D. radicum. Since this is at the genus level and I cannot find a source for this level, I suggest we remove this record.",Other Generic Databases,1,,,Unknown,
Viborera,Echium vulgare,Tracheophyta,,Desika,Replaced NAm [www.plantsoftheworldonline.org],Other Generic Databases,1,,,EUR;AS,"Albania, Altay, Austria, Baltic States, Belarus, Belgium, Bulgaria, Central European Rus, Corse, Cyprus, Czechoslovakia, Denmark, East Aegean Is., East European Russia, Finland, France, Germany, Great Britain, Hungary, Ireland, Irkutsk, Italy, Kazakhstan, Kirgizstan, Krasnoyarsk, Krym, Netherlands, North Caucasus, Northwest European R, Norway, Poland, Portugal, Romania, Sardegna, Sicilia, South European Russi, Spain, Sweden, Switzerland, Tadzhikistan, Transcaucasus, Turkey, Turkey-in-Europe, Turkmenistan, Ukraine, Uzbekistan, West Siberia, Xinjiang, Yugoslavia"
